id,family_id,split,style,question,intent,skill,entities,expected_action,backend_sources,response_strategy,must_do,must_not,clarification_question,notes
PSEARCH_EXACT_001-02,PSEARCH_EXACT_001,train,no_accent,Shop co Daikin FTKB35 khong?,PRODUCT_SEARCH_EXACT,,"{""model"": ""extract"", ""brand"": ""extract_if_present""}",RESOLVE_EXACT_PRODUCT,"[""PRODUCT_DB""]",PRODUCT_CARD,"[""Resolve exact SKU/model first.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_EXACT_001-03,PSEARCH_EXACT_001,train,slang,shop có daikin ftkb35 ko?,PRODUCT_SEARCH_EXACT,,"{""model"": ""extract"", ""brand"": ""extract_if_present""}",RESOLVE_EXACT_PRODUCT,"[""PRODUCT_DB""]",PRODUCT_CARD,"[""Resolve exact SKU/model first.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_EXACT_001-04,PSEARCH_EXACT_001,train,natural,Tìm giúp LG FV1412S3BA,PRODUCT_SEARCH_EXACT,,"{""model"": ""extract"", ""brand"": ""extract_if_present""}",RESOLVE_EXACT_PRODUCT,"[""PRODUCT_DB""]",PRODUCT_CARD,"[""Resolve exact SKU/model first.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_EXACT_001-05,PSEARCH_EXACT_001,train,no_accent,Tim giup LG FV1412S3BA,PRODUCT_SEARCH_EXACT,,"{""model"": ""extract"", ""brand"": ""extract_if_present""}",RESOLVE_EXACT_PRODUCT,"[""PRODUCT_DB""]",PRODUCT_CARD,"[""Resolve exact SKU/model first.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_EXACT_001-06,PSEARCH_EXACT_001,train,natural,Có model Panasonic XPU12XKH-8 không?,PRODUCT_SEARCH_EXACT,,"{""model"": ""extract"", ""brand"": ""extract_if_present""}",RESOLVE_EXACT_PRODUCT,"[""PRODUCT_DB""]",PRODUCT_CARD,"[""Resolve exact SKU/model first.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_EXACT_001-07,PSEARCH_EXACT_001,train,no_accent,Co model Panasonic XPU12XKH-8 khong?,PRODUCT_SEARCH_EXACT,,"{""model"": ""extract"", ""brand"": ""extract_if_present""}",RESOLVE_EXACT_PRODUCT,"[""PRODUCT_DB""]",PRODUCT_CARD,"[""Resolve exact SKU/model first.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_EXACT_001-08,PSEARCH_EXACT_001,train,slang,có model panasonic xpu12xkh-8 ko?,PRODUCT_SEARCH_EXACT,,"{""model"": ""extract"", ""brand"": ""extract_if_present""}",RESOLVE_EXACT_PRODUCT,"[""PRODUCT_DB""]",PRODUCT_CARD,"[""Resolve exact SKU/model first.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_EXACT_001-09,PSEARCH_EXACT_001,train,natural,Kiểm tra giúp Samsung QA65S95D,PRODUCT_SEARCH_EXACT,,"{""model"": ""extract"", ""brand"": ""extract_if_present""}",RESOLVE_EXACT_PRODUCT,"[""PRODUCT_DB""]",PRODUCT_CARD,"[""Resolve exact SKU/model first.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_EXACT_001-10,PSEARCH_EXACT_001,train,no_accent,Kiem tra giup Samsung QA65S95D,PRODUCT_SEARCH_EXACT,,"{""model"": ""extract"", ""brand"": ""extract_if_present""}",RESOLVE_EXACT_PRODUCT,"[""PRODUCT_DB""]",PRODUCT_CARD,"[""Resolve exact SKU/model first.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_EXACT_001-11,PSEARCH_EXACT_001,train,natural,Bên mình có Casper GC-09IS35 không?,PRODUCT_SEARCH_EXACT,,"{""model"": ""extract"", ""brand"": ""extract_if_present""}",RESOLVE_EXACT_PRODUCT,"[""PRODUCT_DB""]",PRODUCT_CARD,"[""Resolve exact SKU/model first.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_EXACT_001-12,PSEARCH_EXACT_001,train,no_accent,Ben minh co Casper GC-09IS35 khong?,PRODUCT_SEARCH_EXACT,,"{""model"": ""extract"", ""brand"": ""extract_if_present""}",RESOLVE_EXACT_PRODUCT,"[""PRODUCT_DB""]",PRODUCT_CARD,"[""Resolve exact SKU/model first.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_EXACT_001-13,PSEARCH_EXACT_001,train,slang,bên mình có casper gc-09is35 ko?,PRODUCT_SEARCH_EXACT,,"{""model"": ""extract"", ""brand"": ""extract_if_present""}",RESOLVE_EXACT_PRODUCT,"[""PRODUCT_DB""]",PRODUCT_CARD,"[""Resolve exact SKU/model first.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_FUZZY_001-01,PSEARCH_FUZZY_001,validation,natural,Tìm điều hòa Daikin 12k inverter,PRODUCT_SEARCH_FUZZY,,"{""brand"": ""extract"", ""category"": ""extract"", ""attributes"": ""extract""}",NORMALIZE_AND_SEARCH,"[""PRODUCT_DB"", ""ALIAS_INDEX""]",PRODUCT_LIST,"[""Normalize brand/category/capacity/size synonyms before search.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_FUZZY_001-02,PSEARCH_FUZZY_001,validation,no_accent,Tim dieu hoa Daikin 12k inverter,PRODUCT_SEARCH_FUZZY,,"{""brand"": ""extract"", ""category"": ""extract"", ""attributes"": ""extract""}",NORMALIZE_AND_SEARCH,"[""PRODUCT_DB"", ""ALIAS_INDEX""]",PRODUCT_LIST,"[""Normalize brand/category/capacity/size synonyms before search.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_FUZZY_001-03,PSEARCH_FUZZY_001,validation,slang,tìm dieu hoa daikin 12k inverter,PRODUCT_SEARCH_FUZZY,,"{""brand"": ""extract"", ""category"": ""extract"", ""attributes"": ""extract""}",NORMALIZE_AND_SEARCH,"[""PRODUCT_DB"", ""ALIAS_INDEX""]",PRODUCT_LIST,"[""Normalize brand/category/capacity/size synonyms before search.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_FUZZY_001-04,PSEARCH_FUZZY_001,validation,natural,Có máy lạnh Panasonic 1.5 ngựa không?,PRODUCT_SEARCH_FUZZY,,"{""brand"": ""extract"", ""category"": ""extract"", ""attributes"": ""extract""}",NORMALIZE_AND_SEARCH,"[""PRODUCT_DB"", ""ALIAS_INDEX""]",PRODUCT_LIST,"[""Normalize brand/category/capacity/size synonyms before search.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_FUZZY_001-05,PSEARCH_FUZZY_001,validation,no_accent,Co may lanh Panasonic 1.5 ngua khong?,PRODUCT_SEARCH_FUZZY,,"{""brand"": ""extract"", ""category"": ""extract"", ""attributes"": ""extract""}",NORMALIZE_AND_SEARCH,"[""PRODUCT_DB"", ""ALIAS_INDEX""]",PRODUCT_LIST,"[""Normalize brand/category/capacity/size synonyms before search.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_FUZZY_001-06,PSEARCH_FUZZY_001,validation,slang,có may lanh panasonic 1.5 ngựa ko?,PRODUCT_SEARCH_FUZZY,,"{""brand"": ""extract"", ""category"": ""extract"", ""attributes"": ""extract""}",NORMALIZE_AND_SEARCH,"[""PRODUCT_DB"", ""ALIAS_INDEX""]",PRODUCT_LIST,"[""Normalize brand/category/capacity/size synonyms before search.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_FUZZY_001-07,PSEARCH_FUZZY_001,validation,natural,Cho mình máy giặt LG 12kg,PRODUCT_SEARCH_FUZZY,,"{""brand"": ""extract"", ""category"": ""extract"", ""attributes"": ""extract""}",NORMALIZE_AND_SEARCH,"[""PRODUCT_DB"", ""ALIAS_INDEX""]",PRODUCT_LIST,"[""Normalize brand/category/capacity/size synonyms before search.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_FUZZY_001-08,PSEARCH_FUZZY_001,validation,no_accent,Cho minh may giat LG 12kg,PRODUCT_SEARCH_FUZZY,,"{""brand"": ""extract"", ""category"": ""extract"", ""attributes"": ""extract""}",NORMALIZE_AND_SEARCH,"[""PRODUCT_DB"", ""ALIAS_INDEX""]",PRODUCT_LIST,"[""Normalize brand/category/capacity/size synonyms before search.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_FUZZY_001-09,PSEARCH_FUZZY_001,validation,slang,cho mình may giat lg 12kg,PRODUCT_SEARCH_FUZZY,,"{""brand"": ""extract"", ""category"": ""extract"", ""attributes"": ""extract""}",NORMALIZE_AND_SEARCH,"[""PRODUCT_DB"", ""ALIAS_INDEX""]",PRODUCT_LIST,"[""Normalize brand/category/capacity/size synonyms before search.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_FUZZY_001-10,PSEARCH_FUZZY_001,validation,natural,Tìm TV Samsung 65 inch QLED,PRODUCT_SEARCH_FUZZY,,"{""brand"": ""extract"", ""category"": ""extract"", ""attributes"": ""extract""}",NORMALIZE_AND_SEARCH,"[""PRODUCT_DB"", ""ALIAS_INDEX""]",PRODUCT_LIST,"[""Normalize brand/category/capacity/size synonyms before search.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_FUZZY_001-11,PSEARCH_FUZZY_001,validation,no_accent,Tim TV Samsung 65 inch QLED,PRODUCT_SEARCH_FUZZY,,"{""brand"": ""extract"", ""category"": ""extract"", ""attributes"": ""extract""}",NORMALIZE_AND_SEARCH,"[""PRODUCT_DB"", ""ALIAS_INDEX""]",PRODUCT_LIST,"[""Normalize brand/category/capacity/size synonyms before search.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_FUZZY_001-12,PSEARCH_FUZZY_001,validation,natural,Tủ lạnh Panasonic khoảng 400 lít inverter,PRODUCT_SEARCH_FUZZY,,"{""brand"": ""extract"", ""category"": ""extract"", ""attributes"": ""extract""}",NORMALIZE_AND_SEARCH,"[""PRODUCT_DB"", ""ALIAS_INDEX""]",PRODUCT_LIST,"[""Normalize brand/category/capacity/size synonyms before search.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_FUZZY_001-13,PSEARCH_FUZZY_001,validation,no_accent,Tu lanh Panasonic khoang 400 lit inverter,PRODUCT_SEARCH_FUZZY,,"{""brand"": ""extract"", ""category"": ""extract"", ""attributes"": ""extract""}",NORMALIZE_AND_SEARCH,"[""PRODUCT_DB"", ""ALIAS_INDEX""]",PRODUCT_LIST,"[""Normalize brand/category/capacity/size synonyms before search.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PSEARCH_FUZZY_001-14,PSEARCH_FUZZY_001,validation,slang,tu lanh panasonic khoảng 400 lít inverter,PRODUCT_SEARCH_FUZZY,,"{""brand"": ""extract"", ""category"": ""extract"", ""attributes"": ""extract""}",NORMALIZE_AND_SEARCH,"[""PRODUCT_DB"", ""ALIAS_INDEX""]",PRODUCT_LIST,"[""Normalize brand/category/capacity/size synonyms before search.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims.""]",,
PRICE_001-01,PRICE_001,train,natural,FTKB35 giá bao nhiêu?,PRODUCT_PRICE,,"{""product"": ""resolve""}",GET_CURRENT_PRICE,"[""PRICE_SERVICE"", ""PRODUCT_DB""]",DIRECT_TEMPLATE,"[""Return current verified price and sale price if present.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims."", ""Do not answer from model memory.""]",,
PRICE_001-02,PRICE_001,train,no_accent,FTKB35 gia bao nhieu?,PRODUCT_PRICE,,"{""product"": ""resolve""}",GET_CURRENT_PRICE,"[""PRICE_SERVICE"", ""PRODUCT_DB""]",DIRECT_TEMPLATE,"[""Return current verified price and sale price if present.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims."", ""Do not answer from model memory.""]",,
PRICE_001-03,PRICE_001,train,slang,ftkb35 gia bn?,PRODUCT_PRICE,,"{""product"": ""resolve""}",GET_CURRENT_PRICE,"[""PRICE_SERVICE"", ""PRODUCT_DB""]",DIRECT_TEMPLATE,"[""Return current verified price and sale price if present.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims."", ""Do not answer from model memory.""]",,
PRICE_001-04,PRICE_001,train,natural,Giá con Daikin này bao nhiêu?,PRODUCT_PRICE,,"{""product"": ""resolve""}",GET_CURRENT_PRICE,"[""PRICE_SERVICE"", ""PRODUCT_DB""]",DIRECT_TEMPLATE,"[""Return current verified price and sale price if present.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims."", ""Do not answer from model memory.""]",,
PRICE_001-05,PRICE_001,train,no_accent,Gia con Daikin nay bao nhieu?,PRODUCT_PRICE,,"{""product"": ""resolve""}",GET_CURRENT_PRICE,"[""PRICE_SERVICE"", ""PRODUCT_DB""]",DIRECT_TEMPLATE,"[""Return current verified price and sale price if present.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims."", ""Do not answer from model memory.""]",,
PRICE_001-06,PRICE_001,train,slang,gia con daikin này bn?,PRODUCT_PRICE,,"{""product"": ""resolve""}",GET_CURRENT_PRICE,"[""PRICE_SERVICE"", ""PRODUCT_DB""]",DIRECT_TEMPLATE,"[""Return current verified price and sale price if present.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims."", ""Do not answer from model memory.""]",,
PRICE_001-07,PRICE_001,train,natural,LG FV1412S3BA hiện giá bao nhiêu?,PRODUCT_PRICE,,"{""product"": ""resolve""}",GET_CURRENT_PRICE,"[""PRICE_SERVICE"", ""PRODUCT_DB""]",DIRECT_TEMPLATE,"[""Return current verified price and sale price if present.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims."", ""Do not answer from model memory.""]",,
PRICE_001-08,PRICE_001,train,no_accent,LG FV1412S3BA hien gia bao nhieu?,PRODUCT_PRICE,,"{""product"": ""resolve""}",GET_CURRENT_PRICE,"[""PRICE_SERVICE"", ""PRODUCT_DB""]",DIRECT_TEMPLATE,"[""Return current verified price and sale price if present.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims."", ""Do not answer from model memory.""]",,
PRICE_001-09,PRICE_001,train,slang,lg fv1412s3ba hiện gia bn?,PRODUCT_PRICE,,"{""product"": ""resolve""}",GET_CURRENT_PRICE,"[""PRICE_SERVICE"", ""PRODUCT_DB""]",DIRECT_TEMPLATE,"[""Return current verified price and sale price if present.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims."", ""Do not answer from model memory.""]",,
PRICE_001-10,PRICE_001,train,natural,Con Panasonic XPU12 bao nhiêu tiền?,PRODUCT_PRICE,,"{""product"": ""resolve""}",GET_CURRENT_PRICE,"[""PRICE_SERVICE"", ""PRODUCT_DB""]",DIRECT_TEMPLATE,"[""Return current verified price and sale price if present.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims."", ""Do not answer from model memory.""]",,
PRICE_001-11,PRICE_001,train,no_accent,Con Panasonic XPU12 bao nhieu tien?,PRODUCT_PRICE,,"{""product"": ""resolve""}",GET_CURRENT_PRICE,"[""PRICE_SERVICE"", ""PRODUCT_DB""]",DIRECT_TEMPLATE,"[""Return current verified price and sale price if present.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims."", ""Do not answer from model memory.""]",,
PRICE_001-12,PRICE_001,train,slang,con panasonic xpu12 bn tiền?,PRODUCT_PRICE,,"{""product"": ""resolve""}",GET_CURRENT_PRICE,"[""PRICE_SERVICE"", ""PRODUCT_DB""]",DIRECT_TEMPLATE,"[""Return current verified price and sale price if present.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims."", ""Do not answer from model memory.""]",,
PRICE_001-13,PRICE_001,train,natural,Giá hiện tại của Casper GC-09IS35?,PRODUCT_PRICE,,"{""product"": ""resolve""}",GET_CURRENT_PRICE,"[""PRICE_SERVICE"", ""PRODUCT_DB""]",DIRECT_TEMPLATE,"[""Return current verified price and sale price if present.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims."", ""Do not answer from model memory.""]",,
PRICE_001-14,PRICE_001,train,no_accent,Gia hien tai cua Casper GC-09IS35?,PRODUCT_PRICE,,"{""product"": ""resolve""}",GET_CURRENT_PRICE,"[""PRICE_SERVICE"", ""PRODUCT_DB""]",DIRECT_TEMPLATE,"[""Return current verified price and sale price if present.""]","[""Do not invent product, price, stock, promotion, ranking or specification."", ""Use only verified backend/system data for factual commerce claims."", ""Do not answer from model memory.""]",,
